"","University of Texas at Austin","Texas A&M University","Rice University","University of Colorado Boulder","The University of Arizona","Colorado State University","University of Kansas","Colorado School of Mines","University of Texas Dallas","University of Nebraska - Lincoln","University of New Mexico","University of Houston","University of Oklahoma","University of Colorado, Denver ","Texas Tech University","Kansas State University ","Oklahoma State University ","University of Denver","Baylor University","Southern Methodist University","The University of Texas at Arlington","University of Arkansas Fayetteville ","University of Missouri, Kansas City","University of North Texas","University of Texas El Paso ","University of Texas at San Antonio","University of Tulsa","University of Wyoming","University of Central Oklahoma"
"University of Texas at Austin",NA,"202 mi","168 mi","937 mi","897 mi","973 mi","699 mi","923 mi","216 mi","818 mi","694 mi","171 mi","369 mi","910 mi","374 mi","674 mi","449 mi","905 mi","101 mi","200 mi","198 mi","526 mi","730 mi","222 mi","583 mi","80.8 mi","455 mi","1,041 mi","400 mi"
"Texas A&M University","202 mi",NA,"355 mi","739 mi","762 mi","775 mi","648 mi","725 mi","233 mi","767 mi","496 mi","358 mi","327 mi","712 mi","176 mi","623 mi","398 mi","707 mi","187 mi","222 mi","200 mi","563 mi","679 mi","219 mi","447 mi","223 mi","442 mi","843 mi","348 mi"
"Rice University","168 mi","355 mi",NA,"1,065 mi","1,065 mi","1,101 mi","765 mi","1,051 mi","264 mi","884 mi","890 mi","7.7 mi","435 mi","1,038 mi","525 mi","740 mi","515 mi","1,033 mi","184 mi","251 mi","264 mi","577 mi","748 mi","286 mi","750 mi","198 mi","506 mi","1,169 mi","466 mi"
"University of Colorado Boulder","937 mi","739 mi","1,065 mi",NA,"922 mi","64.3 mi","585 mi","20.1 mi","798 mi","499 mi","475 mi","1,043 mi","715 mi","27.2 mi","575 mi","513 mi","663 mi","33.5 mi","865 mi","807 mi","791 mi","806 mi","626 mi","765 mi","666 mi","959 mi","714 mi","133 mi","683 mi"
"The University of Arizona","897 mi","762 mi","1,065 mi","922 mi",NA,"958 mi","1,158 mi","909 mi","967 mi","1,280 mi","451 mi","1,068 mi","967 mi","896 mi","628 mi","1,094 mi","1,011 mi","891 mi","935 mi","957 mi","935 mi","1,182 mi","1,188 mi","953 mi","316 mi","868 mi","1,055 mi","1,027 mi","961 mi"
"Colorado State University","973 mi","775 mi","1,101 mi","64.3 mi","958 mi",NA,"620 mi","71.8 mi","833 mi","465 mi","511 mi","1,078 mi","750 mi","63.0 mi","598 mi","548 mi","698 mi","69.4 mi","900 mi","842 mi","826 mi","841 mi","661 mi","799 mi","701 mi","982 mi","749 mi","67.3 mi","717 mi"
"University of Kansas","699 mi","648 mi","765 mi","585 mi","1,158 mi","620 mi",NA,"578 mi","513 mi","194 mi","754 mi","762 mi","335 mi","567 mi","664 mi","86.3 mi","284 mi","573 mi","600 mi","521 mi","525 mi","269 mi","48.1 mi","479 mi","907 mi","780 mi","225 mi","689 mi","303 mi"
"Colorado School of Mines","923 mi","725 mi","1,051 mi","20.1 mi","909 mi","71.8 mi","578 mi",NA,"802 mi","493 mi","459 mi","1,047 mi","707 mi","14.6 mi","559 mi","506 mi","655 mi","17.5 mi","869 mi","812 mi","796 mi","798 mi","619 mi","769 mi","650 mi","943 mi","706 mi","141 mi","675 mi"
"University of Texas Dallas","216 mi","233 mi","264 mi","798 mi","967 mi","833 mi","513 mi","802 mi",NA,"632 mi","643 mi","260 mi","184 mi","791 mi","330 mi","489 mi","263 mi","786 mi","113 mi","14.2 mi","38.1 mi","319 mi","490 mi","35.2 mi","654 mi","292 mi","247 mi","922 mi","215 mi"
"University of Nebraska - Lincoln","818 mi","767 mi","884 mi","499 mi","1,280 mi","465 mi","194 mi","493 mi","632 mi",NA,"832 mi","880 mi","453 mi","484 mi","715 mi","135 mi","402 mi","490 mi","718 mi","639 mi","643 mi","432 mi","201 mi","598 mi","964 mi","898 mi","391 mi","488 mi","421 mi"
"University of New Mexico","694 mi","496 mi","890 mi","475 mi","451 mi","511 mi","754 mi","459 mi","643 mi","832 mi",NA,"886 mi","563 mi","449 mi","320 mi","703 mi","607 mi","444 mi","709 mi","651 mi","635 mi","778 mi","784 mi","608 mi","266 mi","720 mi","651 mi","580 mi","557 mi"
"University of Houston","171 mi","358 mi","7.7 mi","1,043 mi","1,068 mi","1,078 mi","762 mi","1,047 mi","260 mi","880 mi","886 mi",NA,"432 mi","1,035 mi","529 mi","737 mi","511 mi","1,030 mi","187 mi","248 mi","261 mi","574 mi","745 mi","283 mi","754 mi","201 mi","503 mi","1,166 mi","463 mi"
"University of Oklahoma","369 mi","327 mi","435 mi","715 mi","967 mi","750 mi","335 mi","707 mi","184 mi","453 mi","563 mi","432 mi",NA,"698 mi","343 mi","311 mi","85.5 mi","704 mi","270 mi","191 mi","195 mi","242 mi","366 mi","150 mi","717 mi","450 mi","129 mi","820 mi","37.1 mi"
"University of Colorado, Denver ","910 mi","712 mi","1,038 mi","27.2 mi","896 mi","63.0 mi","567 mi","14.6 mi","791 mi","484 mi","449 mi","1,035 mi","698 mi",NA,"549 mi","495 mi","645 mi","7.2 mi","859 mi","801 mi","785 mi","787 mi","608 mi","759 mi","639 mi","933 mi","695 mi","132 mi","664 mi"
"Texas Tech University","374 mi","176 mi","525 mi","575 mi","628 mi","598 mi","664 mi","559 mi","330 mi","715 mi","320 mi","529 mi","343 mi","549 mi",NA,"594 mi","413 mi","538 mi","355 mi","352 mi","330 mi","579 mi","694 mi","295 mi","349 mi","387 mi","457 mi","674 mi","363 mi"
"Kansas State University ","674 mi","623 mi","740 mi","513 mi","1,094 mi","548 mi","86.3 mi","506 mi","489 mi","135 mi","703 mi","737 mi","311 mi","495 mi","594 mi",NA,"259 mi","501 mi","575 mi","496 mi","500 mi","353 mi","128 mi","455 mi","845 mi","755 mi","273 mi","602 mi","278 mi"
"Oklahoma State University ","449 mi","398 mi","515 mi","663 mi","1,011 mi","698 mi","284 mi","655 mi","263 mi","402 mi","607 mi","511 mi","85.5 mi","645 mi","413 mi","259 mi",NA,"647 mi","350 mi","271 mi","274 mi","182 mi","310 mi","229 mi","762 mi","529 mi","72.3 mi","763 mi","52.9 mi"
"University of Denver","905 mi","707 mi","1,033 mi","33.5 mi","891 mi","69.4 mi","573 mi","17.5 mi","786 mi","490 mi","444 mi","1,030 mi","704 mi","7.2 mi","538 mi","501 mi","647 mi",NA,"854 mi","796 mi","780 mi","793 mi","614 mi","753 mi","634 mi","928 mi","701 mi","138 mi","670 mi"
"Baylor University","101 mi","187 mi","184 mi","865 mi","935 mi","900 mi","600 mi","869 mi","113 mi","718 mi","709 mi","187 mi","270 mi","859 mi","355 mi","575 mi","350 mi","854 mi",NA,"100 mi","98.0 mi","426 mi","630 mi","122 mi","620 mi","181 mi","355 mi","988 mi","301 mi"
"Southern Methodist University","200 mi","222 mi","251 mi","807 mi","957 mi","842 mi","521 mi","812 mi","14.2 mi","639 mi","651 mi","248 mi","191 mi","801 mi","352 mi","496 mi","271 mi","796 mi","100 mi",NA,"26.2 mi","328 mi","499 mi","40.1 mi","643 mi","279 mi","257 mi","930 mi","220 mi"
"The University of Texas at Arlington","198 mi","200 mi","264 mi","791 mi","935 mi","826 mi","525 mi","796 mi","38.1 mi","643 mi","635 mi","261 mi","195 mi","785 mi","330 mi","500 mi","274 mi","780 mi","98.0 mi","26.2 mi",NA,"352 mi","555 mi","46.3 mi","620 mi","277 mi","280 mi","915 mi","226 mi"
"University of Arkansas Fayetteville ","526 mi","563 mi","577 mi","806 mi","1,182 mi","841 mi","269 mi","798 mi","319 mi","432 mi","778 mi","574 mi","242 mi","787 mi","579 mi","353 mi","182 mi","793 mi","426 mi","328 mi","352 mi",NA,"233 mi","331 mi","912 mi","608 mi","109 mi","922 mi","211 mi"
"University of Missouri, Kansas City","730 mi","679 mi","748 mi","626 mi","1,188 mi","661 mi","48.1 mi","619 mi","490 mi","201 mi","784 mi","745 mi","366 mi","608 mi","694 mi","128 mi","310 mi","614 mi","630 mi","499 mi","555 mi","233 mi",NA,"510 mi","938 mi","810 mi","263 mi","692 mi","333 mi"
"University of North Texas","222 mi","219 mi","286 mi","765 mi","953 mi","799 mi","479 mi","769 mi","35.2 mi","598 mi","608 mi","283 mi","150 mi","759 mi","295 mi","455 mi","229 mi","753 mi","122 mi","40.1 mi","46.3 mi","331 mi","510 mi",NA,"639 mi","302 mi","273 mi","888 mi","180 mi"
"University of Texas El Paso ","583 mi","447 mi","750 mi","666 mi","316 mi","701 mi","907 mi","650 mi","654 mi","964 mi","266 mi","754 mi","717 mi","639 mi","349 mi","845 mi","762 mi","634 mi","620 mi","643 mi","620 mi","912 mi","938 mi","639 mi",NA,"553 mi","803 mi","769 mi","709 mi"
"University of Texas at San Antonio","80.8 mi","223 mi","198 mi","959 mi","868 mi","982 mi","780 mi","943 mi","292 mi","898 mi","720 mi","201 mi","450 mi","933 mi","387 mi","755 mi","529 mi","928 mi","181 mi","279 mi","277 mi","608 mi","810 mi","302 mi","553 mi",NA,"534 mi","1,054 mi","480 mi"
"University of Tulsa","455 mi","442 mi","506 mi","714 mi","1,055 mi","749 mi","225 mi","706 mi","247 mi","391 mi","651 mi","503 mi","129 mi","695 mi","457 mi","273 mi","72.3 mi","701 mi","355 mi","257 mi","280 mi","109 mi","263 mi","273 mi","803 mi","534 mi",NA,"817 mi","105 mi"
"University of Wyoming","1,041 mi","843 mi","1,169 mi","133 mi","1,027 mi","67.3 mi","689 mi","141 mi","922 mi","488 mi","580 mi","1,166 mi","820 mi","132 mi","674 mi","602 mi","763 mi","138 mi","988 mi","930 mi","915 mi","922 mi","692 mi","888 mi","769 mi","1,054 mi","817 mi",NA,"786 mi"
"University of Central Oklahoma","400 mi","348 mi","466 mi","683 mi","961 mi","717 mi","303 mi","675 mi","215 mi","421 mi","557 mi","463 mi","37.1 mi","664 mi","363 mi","278 mi","52.9 mi","670 mi","301 mi","220 mi","226 mi","211 mi","333 mi","180 mi","709 mi","480 mi","105 mi","786 mi",NA
