"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"1",NA,"41.2 mi","361 mi","354 mi","466 mi","848 mi","364 mi","108 mi","302 mi","739 mi","401 mi","45.7 mi",NA,"413 mi","908 mi","775 mi","609 mi","563 mi","2,995 mi","813 mi","741 mi","479 mi","917 mi","39.9 mi","807 mi","204 mi","670 mi","33.7 mi","843 mi","1,014 mi","475 mi","89.2 mi","361 mi","313 mi","930 mi"
"2","41.2 mi",NA,"377 mi","370 mi","482 mi","804 mi","380 mi","63.4 mi","328 mi","755 mi","416 mi","78.9 mi",NA,"428 mi","864 mi","731 mi","565 mi","519 mi","2,951 mi","769 mi","757 mi","495 mi","873 mi","16.4 mi","763 mi","230 mi","626 mi","21.6 mi","799 mi","970 mi","491 mi","76.8 mi","377 mi","280 mi","886 mi"
"3","361 mi","377 mi",NA,"26.4 mi","123 mi","1,143 mi","15.1 mi","402 mi","111 mi","380 mi","57.4 mi","347 mi",NA,"53.7 mi","1,115 mi","685 mi","904 mi","858 mi","3,291 mi","637 mi","455 mi","136 mi","1,116 mi","387 mi","761 mi","196 mi","965 mi","391 mi","1,139 mi","1,202 mi","132 mi","342 mi","8.4 mi","656 mi","1,226 mi"
"4","354 mi","370 mi","26.4 mi",NA,"122 mi","1,136 mi","14.1 mi","395 mi","98.7 mi","398 mi","53.2 mi","340 mi",NA,"73.3 mi","1,108 mi","714 mi","897 mi","851 mi","3,284 mi","666 mi","484 mi","135 mi","1,109 mi","380 mi","790 mi","183 mi","958 mi","383 mi","1,131 mi","1,231 mi","131 mi","335 mi","21.6 mi","648 mi","1,218 mi"
"5","466 mi","482 mi","123 mi","122 mi",NA,"1,254 mi","113 mi","513 mi","217 mi","362 mi","71.1 mi","458 mi",NA,"91.6 mi","1,194 mi","751 mi","1,015 mi","969 mi","3,402 mi","704 mi","494 mi","16.0 mi","1,194 mi","498 mi","827 mi","301 mi","1,076 mi","502 mi","1,250 mi","1,268 mi","11.7 mi","453 mi","107 mi","767 mi","1,337 mi"
"6","848 mi","804 mi","1,143 mi","1,136 mi","1,254 mi",NA,"1,146 mi","749 mi","1,122 mi","1,427 mi","1,183 mi","879 mi",NA,"1,195 mi","288 mi","835 mi","263 mi","289 mi","2,150 mi","875 mi","1,352 mi","1,261 mi","297 mi","815 mi","788 mi","1,025 mi","180 mi","820 mi","6.2 mi","480 mi","1,257 mi","803 mi","1,143 mi","581 mi","85.0 mi"
"7","364 mi","380 mi","15.1 mi","14.1 mi","113 mi","1,146 mi",NA,"405 mi","109 mi","386 mi","47.2 mi","350 mi",NA,"61.2 mi","1,119 mi","699 mi","907 mi","861 mi","3,294 mi","651 mi","469 mi","129 mi","1,119 mi","390 mi","775 mi","193 mi","968 mi","394 mi","1,142 mi","1,215 mi","125 mi","345 mi","9.5 mi","659 mi","1,229 mi"
"8","108 mi","63.4 mi","402 mi","395 mi","513 mi","749 mi","405 mi",NA,"383 mi","779 mi","441 mi","139 mi",NA,"453 mi","810 mi","670 mi","511 mi","464 mi","2,897 mi","707 mi","772 mi","519 mi","819 mi","75.2 mi","702 mi","286 mi","571 mi","80.4 mi","745 mi","908 mi","515 mi","60.7 mi","401 mi","289 mi","832 mi"
"9","302 mi","328 mi","111 mi","98.7 mi","217 mi","1,122 mi","109 mi","383 mi",NA,"489 mi","148 mi","265 mi",NA,"163 mi","1,182 mi","794 mi","883 mi","837 mi","3,270 mi","746 mi","564 mi","229 mi","1,192 mi","332 mi","870 mi","100 mi","944 mi","331 mi","1,118 mi","1,311 mi","225 mi","343 mi","110 mi","605 mi","1,205 mi"
"10","739 mi","755 mi","380 mi","398 mi","362 mi","1,427 mi","386 mi","779 mi","489 mi",NA,"381 mi","725 mi",NA,"336 mi","1,256 mi","679 mi","1,283 mi","1,236 mi","3,538 mi","631 mi","153 mi","348 mi","1,256 mi","765 mi","755 mi","574 mi","1,343 mi","769 mi","1,425 mi","1,196 mi","356 mi","720 mi","378 mi","1,034 mi","1,506 mi"
"11","401 mi","416 mi","57.4 mi","53.2 mi","71.1 mi","1,183 mi","47.2 mi","441 mi","148 mi","381 mi",NA,"389 mi",NA,"51.8 mi","1,143 mi","700 mi","946 mi","900 mi","3,333 mi","652 mi","470 mi","84.6 mi","1,143 mi","429 mi","776 mi","232 mi","1,007 mi","433 mi","1,181 mi","1,217 mi","80.4 mi","384 mi","41.8 mi","698 mi","1,268 mi"
"12","45.7 mi","78.9 mi","347 mi","340 mi","458 mi","879 mi","350 mi","139 mi","265 mi","725 mi","389 mi",NA,NA,"398 mi","935 mi","802 mi","636 mi","590 mi","3,022 mi","840 mi","727 mi","465 mi","944 mi","78.7 mi","834 mi","168 mi","697 mi","74.9 mi","870 mi","1,041 mi","461 mi","112 mi","347 mi","357 mi","957 mi"
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","413 mi","428 mi","53.7 mi","73.3 mi","91.6 mi","1,195 mi","61.2 mi","453 mi","163 mi","336 mi","51.8 mi","398 mi",NA,NA,"1,104 mi","662 mi","956 mi","909 mi","3,342 mi","614 mi","432 mi","94.3 mi","1,105 mi","438 mi","738 mi","247 mi","1,016 mi","442 mi","1,190 mi","1,179 mi","92.8 mi","393 mi","52.6 mi","707 mi","1,277 mi"
"15","908 mi","864 mi","1,115 mi","1,108 mi","1,194 mi","288 mi","1,119 mi","810 mi","1,182 mi","1,256 mi","1,143 mi","935 mi",NA,"1,104 mi",NA,"639 mi","433 mi","460 mi","2,320 mi","679 mi","1,155 mi","1,197 mi","9.4 mi","875 mi","591 mi","1,086 mi","350 mi","880 mi","286 mi","255 mi","1,196 mi","863 mi","1,116 mi","751 mi","366 mi"
"16","775 mi","731 mi","685 mi","714 mi","751 mi","835 mi","699 mi","670 mi","794 mi","679 mi","700 mi","802 mi",NA,"662 mi","639 mi",NA,"852 mi","789 mi","2,869 mi","50.2 mi","527 mi","754 mi","663 mi","742 mi","86.2 mi","847 mi","769 mi","747 mi","832 mi","527 mi","753 mi","702 mi","690 mi","855 mi","912 mi"
"17","609 mi","565 mi","904 mi","897 mi","1,015 mi","263 mi","907 mi","511 mi","883 mi","1,283 mi","946 mi","636 mi",NA,"956 mi","433 mi","852 mi",NA,"50.3 mi","2,410 mi","893 mi","1,158 mi","1,022 mi","442 mi","575 mi","805 mi","786 mi","84.8 mi","581 mi","258 mi","633 mi","1,018 mi","564 mi","904 mi","342 mi","345 mi"
"18","563 mi","519 mi","858 mi","851 mi","969 mi","289 mi","861 mi","464 mi","837 mi","1,236 mi","900 mi","590 mi",NA,"909 mi","460 mi","789 mi","50.3 mi",NA,"2,437 mi","828 mi","1,112 mi","976 mi","469 mi","529 mi","740 mi","740 mi","111 mi","534 mi","285 mi","660 mi","972 mi","517 mi","858 mi","296 mi","372 mi"
"19","2,995 mi","2,951 mi","3,291 mi","3,284 mi","3,402 mi","2,150 mi","3,294 mi","2,897 mi","3,270 mi","3,538 mi","3,333 mi","3,022 mi",NA,"3,342 mi","2,320 mi","2,869 mi","2,410 mi","2,437 mi",NA,"2,908 mi","3,385 mi","3,410 mi","2,344 mi","2,963 mi","2,808 mi","3,173 mi","2,328 mi","2,968 mi","2,154 mi","2,436 mi","3,405 mi","2,951 mi","3,291 mi","2,729 mi","2,069 mi"
"20","813 mi","769 mi","637 mi","666 mi","704 mi","875 mi","651 mi","707 mi","746 mi","631 mi","652 mi","840 mi",NA,"614 mi","679 mi","50.2 mi","893 mi","828 mi","2,908 mi",NA,"479 mi","707 mi","703 mi","777 mi","126 mi","799 mi","809 mi","782 mi","872 mi","567 mi","705 mi","737 mi","642 mi","890 mi","952 mi"
"21","741 mi","757 mi","455 mi","484 mi","494 mi","1,352 mi","469 mi","772 mi","564 mi","153 mi","470 mi","727 mi",NA,"432 mi","1,155 mi","527 mi","1,158 mi","1,112 mi","3,385 mi","479 mi",NA,"475 mi","1,180 mi","765 mi","604 mi","617 mi","1,224 mi","768 mi","1,349 mi","1,045 mi","483 mi","714 mi","460 mi","1,033 mi","1,430 mi"
"22","479 mi","495 mi","136 mi","135 mi","16.0 mi","1,261 mi","129 mi","519 mi","229 mi","348 mi","84.6 mi","465 mi",NA,"94.3 mi","1,197 mi","754 mi","1,022 mi","976 mi","3,410 mi","707 mi","475 mi",NA,"1,196 mi","511 mi","830 mi","314 mi","1,089 mi","515 mi","1,263 mi","1,270 mi","10.1 mi","466 mi","120 mi","780 mi","1,350 mi"
"23","917 mi","873 mi","1,116 mi","1,109 mi","1,194 mi","297 mi","1,119 mi","819 mi","1,192 mi","1,256 mi","1,143 mi","944 mi",NA,"1,105 mi","9.4 mi","663 mi","442 mi","469 mi","2,344 mi","703 mi","1,180 mi","1,196 mi",NA,"884 mi","592 mi","1,095 mi","359 mi","889 mi","295 mi","251 mi","1,196 mi","872 mi","1,117 mi","761 mi","376 mi"
"24","39.9 mi","16.4 mi","387 mi","380 mi","498 mi","815 mi","390 mi","75.2 mi","332 mi","765 mi","429 mi","78.7 mi",NA,"438 mi","875 mi","742 mi","575 mi","529 mi","2,963 mi","777 mi","765 mi","511 mi","884 mi",NA,"774 mi","234 mi","636 mi","6.3 mi","810 mi","980 mi","500 mi","86.5 mi","386 mi","278 mi","897 mi"
"25","807 mi","763 mi","761 mi","790 mi","827 mi","788 mi","775 mi","702 mi","870 mi","755 mi","776 mi","834 mi",NA,"738 mi","591 mi","86.2 mi","805 mi","740 mi","2,808 mi","126 mi","604 mi","830 mi","592 mi","774 mi",NA,"923 mi","721 mi","779 mi","783 mi","468 mi","829 mi","734 mi","766 mi","887 mi","864 mi"
"26","204 mi","230 mi","196 mi","183 mi","301 mi","1,025 mi","193 mi","286 mi","100 mi","574 mi","232 mi","168 mi",NA,"247 mi","1,086 mi","847 mi","786 mi","740 mi","3,173 mi","799 mi","617 mi","314 mi","1,095 mi","234 mi","923 mi",NA,"847 mi","233 mi","1,020 mi","1,191 mi","309 mi","245 mi","195 mi","508 mi","1,107 mi"
"27","670 mi","626 mi","965 mi","958 mi","1,076 mi","180 mi","968 mi","571 mi","944 mi","1,343 mi","1,007 mi","697 mi",NA,"1,016 mi","350 mi","769 mi","84.8 mi","111 mi","2,328 mi","809 mi","1,224 mi","1,089 mi","359 mi","636 mi","721 mi","847 mi",NA,"642 mi","175 mi","550 mi","1,079 mi","625 mi","965 mi","403 mi","262 mi"
"28","33.7 mi","21.6 mi","391 mi","383 mi","502 mi","820 mi","394 mi","80.4 mi","331 mi","769 mi","433 mi","74.9 mi",NA,"442 mi","880 mi","747 mi","581 mi","534 mi","2,968 mi","782 mi","768 mi","515 mi","889 mi","6.3 mi","779 mi","233 mi","642 mi",NA,"816 mi","986 mi","504 mi","92.4 mi","390 mi","281 mi","903 mi"
"29","843 mi","799 mi","1,139 mi","1,131 mi","1,250 mi","6.2 mi","1,142 mi","745 mi","1,118 mi","1,425 mi","1,181 mi","870 mi",NA,"1,190 mi","286 mi","832 mi","258 mi","285 mi","2,154 mi","872 mi","1,349 mi","1,263 mi","295 mi","810 mi","783 mi","1,020 mi","175 mi","816 mi",NA,"476 mi","1,252 mi","798 mi","1,138 mi","576 mi","88.3 mi"
"30","1,014 mi","970 mi","1,202 mi","1,231 mi","1,268 mi","480 mi","1,215 mi","908 mi","1,311 mi","1,196 mi","1,217 mi","1,041 mi",NA,"1,179 mi","255 mi","527 mi","633 mi","660 mi","2,436 mi","567 mi","1,045 mi","1,270 mi","251 mi","980 mi","468 mi","1,191 mi","550 mi","986 mi","476 mi",NA,"1,269 mi","943 mi","1,206 mi","952 mi","558 mi"
"31","475 mi","491 mi","132 mi","131 mi","11.7 mi","1,257 mi","125 mi","515 mi","225 mi","356 mi","80.4 mi","461 mi",NA,"92.8 mi","1,196 mi","753 mi","1,018 mi","972 mi","3,405 mi","705 mi","483 mi","10.1 mi","1,196 mi","500 mi","829 mi","309 mi","1,079 mi","504 mi","1,252 mi","1,269 mi",NA,"462 mi","116 mi","776 mi","1,346 mi"
"32","89.2 mi","76.8 mi","342 mi","335 mi","453 mi","803 mi","345 mi","60.7 mi","343 mi","720 mi","384 mi","112 mi",NA,"393 mi","863 mi","702 mi","564 mi","517 mi","2,951 mi","737 mi","714 mi","466 mi","872 mi","86.5 mi","734 mi","245 mi","625 mi","92.4 mi","798 mi","943 mi","462 mi",NA,"342 mi","331 mi","885 mi"
"33","361 mi","377 mi","8.4 mi","21.6 mi","107 mi","1,143 mi","9.5 mi","401 mi","110 mi","378 mi","41.8 mi","347 mi",NA,"52.6 mi","1,116 mi","690 mi","904 mi","858 mi","3,291 mi","642 mi","460 mi","120 mi","1,117 mi","386 mi","766 mi","195 mi","965 mi","390 mi","1,138 mi","1,206 mi","116 mi","342 mi",NA,"656 mi","1,226 mi"
"34","313 mi","280 mi","656 mi","648 mi","767 mi","581 mi","659 mi","289 mi","605 mi","1,034 mi","698 mi","357 mi",NA,"707 mi","751 mi","855 mi","342 mi","296 mi","2,729 mi","890 mi","1,033 mi","780 mi","761 mi","278 mi","887 mi","508 mi","403 mi","281 mi","576 mi","952 mi","776 mi","331 mi","656 mi",NA,"663 mi"
"35","930 mi","886 mi","1,226 mi","1,218 mi","1,337 mi","85.0 mi","1,229 mi","832 mi","1,205 mi","1,506 mi","1,268 mi","957 mi",NA,"1,277 mi","366 mi","912 mi","345 mi","372 mi","2,069 mi","952 mi","1,430 mi","1,350 mi","376 mi","897 mi","864 mi","1,107 mi","262 mi","903 mi","88.3 mi","558 mi","1,346 mi","885 mi","1,226 mi","663 mi",NA
